Record Number	Plant Species	Plant Genus	Plant Family	Mosquito species	Mosquito Species (grouping)	Country of the study	LatDD	LonDD	Number of species of plant studied	Number of attractive plants	Reason of plant selection	Methodology approach	Observation/experimental design	Control/No control	Measurements	Sex	Replicates	General purpose of the study	Detailed purpose of the study	Rick of bias of the study	Study ID	Year
239	Philadelphus caucasicus = Philadelphus coronarius	Philadelphus	Hydrangeaceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
240	Philadelphus caucasicus = Philadelphus coronarius	Philadelphus	Hydrangeaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
241	Philadelphus caucasicus = Philadelphus coronarius	Philadelphus	Hydrangeaceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
242	Phlox paniculata	Phlox	Polemoniaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
243	Phlox paniculata	Phlox	Polemoniaceae	Aedes dorsalis	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
244	Phlox paniculata	Phlox	Polemoniaceae	Aedes trivittatus	Aedes trivittatus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
245	Phlox paniculata	Phlox	Polemoniaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
246	Physocarpus opulifolius	Physocarpus	Rosaceae	Aedes abserratus	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
247	Physocarpus opulifolius	Physocarpus	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
248	Physocarpus opulifolius	Physocarpus	Rosaceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
249	Pithecellobium dulce 	Pithecellobium	Fabaceae	Aedes aegypti	Aedes aegypti	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
250	Pithecellobium dulce 	Pithecellobium	Fabaceae	Aedes aegypti	Aedes aegypti	Kenya	0.689918232	37.95309411	3	3	Attractive in previous studies	Lab	Single choice	Yes	"Number of survival days, eggs and larvae"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival and fecundity	High	Nyasembe_2021_247	2021
251	Platanthera obtusata	Platanthera	Orchidaceae	Aedes nigripes	Other Aedes species	Canada 	57.55048004	-98.41680518	1	1	Presence of pollen on mosquitoes	Field	Observation of pollen on mosquito bodies		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Twinn_1948_5	1948
252	Platanthera obtusata	Platanthera	Orchidaceae	Aedes excrucians	Other Aedes species	Canada 	57.55048004	-98.41680518	1	1	Presence of pollen on mosquitoes	Field	Observation of pollen on mosquito bodies		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Twinn_1948_5	1948
253	Platanthera obtusata	Platanthera	Orchidaceae	Aedes punctor	Other Aedes species	Canada 	57.55048004	-98.41680518	1	1	Presence of pollen on mosquitoes	Field	Observation of pollen on mosquito bodies		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Twinn_1948_5	1948
254	Platanthera obtusata	Platanthera	Orchidaceae	Aedes cinereus	Aedes cinereus	Canada 	57.55048004	-98.41680518	1	1	Presence of pollen on mosquitoes	Field	Observation of pollen on mosquito bodies		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Twinn_1948_5	1948
255	Platanthera obtusata	Platanthera	Orchidaceae	Aedes communis 	Aedes communis	"Wisconsin, USA"	44.5	-89.5	1	1	Characteristics of the plant	Lab	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Thien_1969_230	1969
256	Platanthera obtusata	Platanthera	Orchidaceae	Aedes canadensis	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	1	1	Characteristics of the plant	Lab	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Thien_1969_230	1969
257	Polygonum equisetiforme	Polygonum	Polygonaceae	Culex pipiens	Culex pipiens	Israel	31.51354222	35.02792347	10	3	Present and abundant in the study sites	Field	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	24	Application of mosquito nectar feeding in mosquito control	"Study of mosquito feeding habits, Application in mosquito control"	Low	Schlein_2008_13b	2008
258	Prosopis juliflora = Neltuma juliflora	Prosopis	Fabaceae	Anopheles spp	Other Anopheles species	Mali	17.16814621	-4.346399842	1	1	Attractive in previous studies	Field	Cold anthrone method	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	8 traps for 6 treatments and 3 negative control in 8 days	Study of mosquito feeding habits	Study of mosquito feeding habits in invasive species and its impact in malaria control	High	M�ller_2017_208	2017
259	Prosopis juliflora = Neltuma juliflora	Prosopis	Fabaceae	Aedes aegypti	Aedes aegypti	Mali	17.16814621	-4.346399842	7	5	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	6	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Sissoko_2019_71a	2019
260	Prunus nigra	Prunus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
261	Prunus nigra	Prunus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	2	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Smith_1994_107	1994
262	Prunus pensylvanica	Prunus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
263	Prunus pensylvanica	Prunus	Rosaceae	Aedes excrucians	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
264	Prunus pensylvanica	Prunus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	2	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Smith_1994_107	1994
265	Prunus serotina	Prunus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
266	Prunus virginiana	Prunus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
267	Psidium guajava	Psidium	Myrtaceae	Topomyia pseudobarbus	Other mosquito species	Philippines	15.58654225	121.8220894	2	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences - EFN	High	Mogi_1989_165	1989
268	Pyrus malus = Malus domestica	Pyrus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
269	Ranunculus abortivus	Ranunculus	Ranunculaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
270	Rhamnus cathartica	Rhamnus	Rhamnaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
271	Ribes americanum	Ribes	Grossulariaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
272	Ricinus communis	Ricinus	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	"Ohio, USA"	40.367474	-82.996216	3	2	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	3	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in mosquito survival	High	Gary_2004_19	2004
273	Ricinus communis	Ricinus	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	8	3	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	7	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in mosquito survival	Low	Impoinvil_2004_206	2004
274	Ricinus communis	Ricinus	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	5	Present and abundant in the study sites	Lab	Choice assay	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	"Latin square design (13 plant species in 13 positions in the
caged arena)"	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42a	2007
275	Ricinus communis	Ricinus	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	4	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Manda_2007_42c	2007
276	Ricinus communis	Ricinus	Euphorbiaceae	Aedes aegypti	Aedes aegypti	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
277	Ricinus communis	Ricinus	Euphorbiaceae	Culex pipiens	Culex pipiens	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
278	Ricinus communis	Ricinus	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	6	Present and abundant in the study sites	Lab	"Choice assay, Gas chromatography in mosquito crops and plants"	Yes	Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42b	2007
279	Ricinus communis	Ricinus	Euphorbiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
280	Rosa palustris	Rosa	Rosaceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
281	Rosa palustris	Rosa	Rosaceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
282	Rosa rugosa	Rosa	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
283	Rosa rugosa	Rosa	Rosaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
284	Rosa rugosa	Rosa	Rosaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
285	Rubus chamaemorus	Rubus	Rosaceae	Aedes communis	Aedes communis	Sweden	62.73420986	17.06243199	8	6	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on nectar availability	High	Andersson_1990_104	1990
286	Rubus pubescens	Rubus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
287	Rudbeckia subtomentosa	Rudbeckia	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
288	Salicornia fruticosa	Salicornia	Amaranthaceae	Anopheles sergentii	Anopheles sergentii	Egypt	26.60517034	30.24013544	40	3	Present and abundant in the study sites	Lab	Plants marked by radiophosphorus	No	Proportion of dyed mosquitoes	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Abdel-Malek_1964_226	1964
289	Salix spp. 	Salix	Salicaceae	Aedes excrucians	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
290	Senna alata	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
291	Senna didymobotrya	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	5	Present and abundant in the study sites	Lab	Choice assay	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	"Latin square design (13 plant species in 13 positions in the
caged arena)"	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42a	2007
292	Senna didymobotrya	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	4	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Manda_2007_42c	2007
293	Senna didymobotrya	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	"Ohio, USA"	40.367474	-82.996216	4	4	Attractive in previous studies	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	4	Study of floral odour attraction	Study of relationship of olfactory atraction with mosquito feeding preferences and survival	High	Nikbakhtzadeh_2016_171	2016
294	Senna didymobotrya	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	6	Present and abundant in the study sites	Lab	"Choice assay, Gas chromatography in mosquito crops and plants"	Yes	Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42b	2007
295	Senna siamea	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	Burkina Faso	12.10870904	-1.693281621	Not known	5	Observation of mosquitoes visiting/feeding on the plants	"Field, Lab"	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males	Every 3 days for 4 months	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Gouagna_2010_135	2010
296	Senna occidentalis	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	"Ohio, USA"	40.367474	-82.996216	4	4	Attractive in previous studies	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	4	Study of floral odour attraction	Study of relationship of olfactory atraction with mosquito feeding preferences and survival	High	Nikbakhtzadeh_2016_171	2016
297	Senna tora	Senna	Fabaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
298	Senna uniflora	Senna	Fabaceae	Aedes aegypti	Aedes aegypti	Kenya	0.689918232	37.95309411	9	9	No selection - Plant DNA identification in mosquito guts	"Field, Lab"	"DNA extraction, PCR amplification and sequencing "	Yes	Comparison of plant DNA in mosquito guts and plant DNA of local plants	Females	>30 samples per species of mosquito	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Nyasembe_2018_75	2018
299	Silene latifolia subsp. alba = Lychnis alba	Silene	Caryophyllaceae	Culex restuans	Culex restuans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
300	Silene otites	Silene	Caryophyllaceae	Aedes cantans 	Other Aedes species	Germany	51.0830454	10.42617143	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations and mosquitoes collected	"Females, Males"	8 at night and 2 during the day	Study of floral odour attraction	Study floral odour attraction by different insects at different times.	High	D�tterl_2012_177	2012
301	Silene otites	Silene	Caryophyllaceae	Aedes vexans 	Aedes vexans	Germany	51.0830454	10.42617143	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations and mosquitoes collected	"Females, Males"	8 at night and 2 during the day	Study of floral odour attraction	Study floral odour attraction by different insects at different times.	High	D�tterl_2012_177	2012
302	Silene otites	Silene	Caryophyllaceae	Anopheles claviger	Other Anopheles species	Germany	51.0830454	10.42617143	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations and mosquitoes collected	"Females, Males"	8 at night and 2 during the day	Study of floral odour attraction	Study floral odour attraction by different insects at different times.	High	D�tterl_2012_177	2012
303	Silene otites	Silene	Caryophyllaceae	Culex torrentium 	Other Culex species	Germany	51.0830454	10.42617143	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations and mosquitoes collected	"Females, Males"	8 at night and 2 during the day	Study of floral odour attraction	Study floral odour attraction by different insects at different times.	High	D�tterl_2012_177	2012
304	Silene otites	Silene	Caryophyllaceae	Culex pipiens 	Culex pipiens	Germany	51.0830454	10.42617143	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations and mosquitoes collected	"Females, Males"	8 at night and 2 during the day	Study of floral odour attraction	Study floral odour attraction by different insects at different times.	High	D�tterl_2012_177	2012
305	Solidago canadensis	Solidago	Asteraceae	Aedes sticticus	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
306	Solidago canadensis	Solidago	Asteraceae	Aedes trivittatus	Aedes trivittatus	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
307	Solidago canadensis	Solidago	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
308	Solidago canadensis	Solidago	Asteraceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
309	Solidago canadensis	Solidago	Asteraceae	Aedes punctor	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
310	Solidago canadensis	Solidago	Asteraceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
311	Solidago canadensis	Solidago	Asteraceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
312	Solidago canadensis	Solidago	Asteraceae	Culex tarsalis	Other Culex species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
313	Solidago canadensis	Solidago	Asteraceae	Aedes vexans	Aedes vexans	"Ohio, USA"	40.367474	-82.996216	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	Females		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Vargo_1984_74	1984
314	Solidago canadensis	Solidago	Asteraceae	Culex restuans	Culex restuans	"Ohio, USA"	40.367474	-82.996216	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	Females		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Vargo_1984_74	1984
315	Solidago sempervirens	Solidago	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
316	Solidago sempervirens	Solidago	Asteraceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
317	Solidago sempervirens	Solidago	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
